log_money_spent_flight,log_money_spent_hotel,log_avg_days_booking_to_trip
0.0,8.208355576891666,2.639057329615259
7.998167371084906,5.442417710521793,2.1972245773362196
5.942274302917211,7.8050670442584895,2.1972245773362196
7.814561171645077,7.937017489515453,2.0794415416798357
0.0,0.0,0.0
9.235432904587881,8.770982332844834,2.302585092994046
6.646909860483916,7.602401335665818,2.1972245773362196
8.412321445180064,6.762729506931879,2.302585092994046
6.742880635791903,0.0,1.9459101490553132
8.482104728743742,8.744328763999984,2.0794415416798357
6.602180753688768,6.461468176353717,2.302585092994046
7.181363781702559,7.172424577124845,2.302585092994046
5.23750522715128,6.466144724237619,2.5649493574615367
6.437431598525476,8.09040229659332,2.302585092994046
0.0,0.0,0.0
0.0,0.0,0.0
7.074878592018195,6.371611847231857,2.1972245773362196
8.707797021962662,8.0847473549763,2.1972245773362196
8.445224467899145,8.532515207514022,1.9459101490553132
0.0,0.0,0.0
7.818470496523107,7.350516171833998,2.302585092994046
8.91823519868675,8.605936401250625,1.791759469228055
8.333991247194975,7.698936199813447,2.1972245773362196
7.364040236086935,5.771441123130016,2.833213344056216
9.03607031469271,8.40827078419205,2.302585092994046
6.885407415318229,5.87493073085203,2.1972245773362196
9.53063967171204,8.758255243232792,2.0794415416798357
7.625838944832114,7.148345743900068,2.0794415416798357
0.0,0.0,0.0
0.0,0.0,0.0
6.984808908424428,6.946975992135418,2.0794415416798357
8.028715971314009,7.1252830915107115,1.9459101490553132
7.493428601236849,5.44673737166631,2.302585092994046
7.591508473900213,7.982416346827733,2.1972245773362196
0.0,0.0,0.0
6.926969497905941,7.215975002651466,2.0794415416798357
7.661197615325838,6.651571873589727,2.3978952727983707
0.0,0.0,0.0
8.659976651362701,8.32239411311117,2.1972245773362196
6.1637357680484355,7.759614150696903,1.791759469228055
7.158513997329321,6.301519470411488,2.1972245773362196
8.080949237115489,7.440146680662688,2.1972245773362196
0.0,0.0,0.0
7.421416877567336,7.704811922932594,2.302585092994046
6.675066314824396,5.303304908059076,2.3978952727983707
7.22285794700991,5.775482788821392,2.1972245773362196
6.705516688347823,8.13505390861157,2.302585092994046
9.896538463447921,8.643473357326567,2.0794415416798357
8.445224467899145,8.283241441385425,2.0794415416798357
7.262488338683528,0.0,2.0794415416798357
5.955319100471629,4.962844630259907,2.1972245773362196
0.0,0.0,0.0
4.618086411254637,6.608000625296087,1.6094379124341003
6.703433481908515,0.0,2.0794415416798357
8.152111581702952,8.222553638396958,2.639057329615259
8.491731783378363,8.762239124782154,2.1972245773362196
7.815408817460629,7.464452526404184,2.302585092994046
5.849612922867741,7.321849713788356,2.0794415416798357
5.83305481036034,7.837159650001675,2.4849066497880004
9.288504392945537,8.054363765918502,2.302585092994046
0.0,6.9985096422506015,2.0794415416798357
7.4525184537758244,6.894670039433482,1.9459101490553132
0.0,0.0,0.0
7.313153718201314,7.0825485693553,1.9459101490553132
0.0,0.0,0.0
7.58294213416509,5.43372200355424,2.1972245773362196
0.0,6.163314804034641,1.3862943611198906
9.754610442961528,6.142037405587356,5.147494476813453
10.121562279035901,8.729073550451737,1.9459101490553132
7.919428915288845,8.141481041457421,1.9459101490553132
0.0,0.0,0.0
8.137951231348351,8.304767003443223,2.1972245773362196
0.0,0.0,0.0
7.399153405082029,0.0,1.9459101490553132
6.828387343598564,7.4821189235521155,2.1972245773362196
8.498744047747708,8.022437747827741,2.302585092994046
7.754052639035757,6.660575149839686,2.5649493574615367
7.671733640302674,5.963579343618446,2.1972245773362196
6.826653677545096,6.7912214627261855,1.791759469228055
7.541789195049576,6.683360945766275,2.302585092994046
8.273948968395025,7.418480897747794,2.1972245773362196
5.588371623144873,6.493753839851687,2.302585092994046
9.789803604130663,7.630946580890459,4.356708826689592
7.358639797281161,6.959208560571053,2.0794415416798357
6.6705128032884256,5.802118375377063,2.0794415416798357
8.108382493056977,5.593223284089137,2.302585092994046
7.600052098087243,6.056784013228625,2.3978952727983707
4.869839484130799,6.952728644624869,2.0794415416798357
5.991214515852772,0.0,2.302585092994046
7.85848608416983,6.315358001522335,2.0794415416798357
10.707927865928275,7.190676034332207,5.41610040220442
0.0,8.812992231969966,1.9459101490553132
9.671921128210835,0.0,5.823045895483019
0.0,8.830689198760998,2.5649493574615367
0.0,0.0,0.0
7.491980052317896,7.8168199657645525,2.0794415416798357
7.255661893229013,6.99117688712121,2.302585092994046
6.6005505400414926,6.5638555265321274,2.4849066497880004
0.0,0.0,0.0
8.245935497378598,7.180069874302796,1.9459101490553132
7.227589874450326,9.074978734045507,1.9459101490553132
7.745522149152025,7.575071699507561,2.0794415416798357
7.600752448290957,7.478734825567875,2.3978952727983707
5.427150238391005,6.61136876590021,2.3978952727983707
6.441584295756578,7.3471063830894385,2.1972245773362196
